t0_days,Z
45.00000000,3.3183870000e+07
75.00000000,4.0420836000e+07
105.00000000,7.3689624000e+07
135.00000000,1.0654198400e+08
165.00000000,1.0609768000e+08
195.00000000,1.1651486400e+08
225.00000000,2.0063209600e+08
255.00000000,3.0991971200e+08
285.00000000,2.7214992000e+08
315.00000000,1.0945554400e+08
345.00000000,2.1324948000e+07
375.00000000,1.3173892000e+07
405.00000000,3.2349118000e+07
435.00000000,4.1250276000e+07
465.00000000,5.5231904000e+07
495.00000000,1.1194848800e+08
525.00000000,1.7108014400e+08
555.00000000,1.6016584000e+08
585.00000000,1.0299898400e+08
615.00000000,6.2939012000e+07
645.00000000,4.9899048000e+07
675.00000000,5.1796464000e+07
705.00000000,5.6396880000e+07
735.00000000,2.9320788000e+07
765.00000000,1.4821418000e+07
795.00000000,7.5574660000e+06
825.00000000,2.6931980000e+06
855.00000000,6.2119531250e+05
885.00000000,9.1900726562e+04
915.00000000,0.0000000000e+00
945.00000000,0.0000000000e+00
975.00000000,7.9481359375e+04
1005.00000000,5.8689868750e+05
1035.00000000,2.8437680000e+06
1065.00000000,9.1523870000e+06
1095.00000000,2.1141644000e+07
1125.00000000,3.8469888000e+07
1155.00000000,5.3987796000e+07
1185.00000000,5.1526060000e+07
1215.00000000,3.0353284000e+07
1245.00000000,1.0425031000e+07
1275.00000000,2.0272362500e+06
1305.00000000,5.5673328125e+04
1335.00000000,2.6248687500e+05
1365.00000000,1.5081005000e+06
1395.00000000,5.5531680000e+06
1425.00000000,1.3110589000e+07
1455.00000000,2.1011316000e+07
1485.00000000,4.1678892000e+07
1515.00000000,9.9666208000e+07
1545.00000000,8.9566672000e+07
1575.00000000,9.5351656000e+07
1605.00000000,1.8823070400e+08
1635.00000000,3.1784752000e+08
1665.00000000,2.4827163200e+08
1695.00000000,1.5341056000e+08
1725.00000000,3.5035721600e+08
1755.00000000,5.5762860800e+08
1785.00000000,4.7532761600e+08
1815.00000000,1.8208353600e+08
1845.00000000,3.6594008000e+07
1875.00000000,1.6102292500e+06
1905.00000000,4.4904350000e+05
1935.00000000,8.1640796875e+04
1965.00000000,1.2950112500e+06
1995.00000000,4.4499990625e+05
2025.00000000,2.5288945000e+06
2055.00000000,9.1528060000e+06
2085.00000000,2.0706930000e+07
2115.00000000,2.8999652000e+07
2145.00000000,2.9651930000e+07
2175.00000000,2.3199470000e+07
2205.00000000,1.3106782000e+07
2235.00000000,1.6602079000e+07
2265.00000000,3.8626288000e+07
2295.00000000,7.9191384000e+07
2325.00000000,1.0842960800e+08
2355.00000000,1.3601620800e+08
2385.00000000,1.5060054400e+08
2415.00000000,1.3445564800e+08
2445.00000000,1.1078665600e+08
2475.00000000,8.9749840000e+07
2505.00000000,7.3613936000e+07
2535.00000000,4.4767576000e+07
2565.00000000,4.1490640000e+07
2595.00000000,7.7934160000e+07
2625.00000000,1.0898396000e+08
2655.00000000,9.3136152000e+07
2685.00000000,6.6076968000e+07
2715.00000000,4.4630232000e+07
2745.00000000,5.1495904000e+07
2775.00000000,7.0223896000e+07
2805.00000000,1.1858920000e+08
2835.00000000,1.0611608000e+08
2865.00000000,5.0340328000e+07
2895.00000000,4.9879728000e+07
2925.00000000,7.9802128000e+07
2955.00000000,1.2159071200e+08
2985.00000000,1.3155360800e+08
3015.00000000,1.2752884800e+08
3045.00000000,1.3048399200e+08
3075.00000000,1.1514483200e+08
3105.00000000,1.6497443200e+08
3135.00000000,2.0842209600e+08
3165.00000000,1.8942865600e+08
3195.00000000,1.1850240000e+08
3225.00000000,6.3511732000e+07
3255.00000000,6.2257488000e+07
3285.00000000,3.8446584000e+07
3315.00000000,1.8725098000e+07
3345.00000000,9.8010180000e+06
3375.00000000,1.8821438000e+07
3405.00000000,4.4869832000e+07
3435.00000000,5.4652812000e+07
3465.00000000,5.4843880000e+07
3495.00000000,7.1475008000e+07
3525.00000000,1.3926945600e+08
3555.00000000,2.3993129600e+08
3585.00000000,3.1882195200e+08
3615.00000000,3.6708224000e+08
3645.00000000,3.6953001600e+08
3675.00000000,3.4799894400e+08
3705.00000000,2.9526665600e+08
3735.00000000,2.4082598400e+08
3765.00000000,2.7470441600e+08
3795.00000000,2.9301107200e+08
3825.00000000,3.1903104000e+08
3855.00000000,3.1885657600e+08
3885.00000000,3.0054822400e+08
3915.00000000,3.1105734400e+08
3945.00000000,4.1359628800e+08
3975.00000000,6.6842201600e+08
4005.00000000,8.7659814400e+08
4035.00000000,9.8130291200e+08
4065.00000000,9.1187232000e+08
4095.00000000,3.9801564800e+08
4125.00000000,7.4888256000e+08
4155.00000000,1.0798535680e+09
4185.00000000,9.8768275200e+08
4215.00000000,8.3177273600e+08
4245.00000000,9.1064563200e+08
4275.00000000,8.8491776000e+08
4305.00000000,6.7960480000e+08
4335.00000000,4.8066009600e+08
4365.00000000,4.1868323200e+08
4395.00000000,4.7459888000e+08
4425.00000000,6.0443872000e+08
4455.00000000,6.6765440000e+08
4485.00000000,4.5664278400e+08
4515.00000000,3.7005392000e+08
4545.00000000,3.1715062400e+08
4575.00000000,2.0899808000e+08
4605.00000000,1.1161547200e+08
4635.00000000,4.8193032000e+07
4665.00000000,1.5141330000e+07
4695.00000000,3.1725612500e+06
4725.00000000,4.0861187500e+05
4755.00000000,0.0000000000e+00
4785.00000000,0.0000000000e+00
4815.00000000,0.0000000000e+00
4845.00000000,0.0000000000e+00
4875.00000000,0.0000000000e+00
4905.00000000,1.7268814062e+05
4935.00000000,4.7036350000e+06
4965.00000000,2.8375436000e+07
4995.00000000,1.1275536000e+08
5025.00000000,3.1422067200e+08
5055.00000000,6.1722707200e+08
5085.00000000,8.3810137600e+08
5115.00000000,7.9437280000e+08
5145.00000000,6.5199987200e+08
5175.00000000,8.2203334400e+08
5205.00000000,1.0865130240e+09
5235.00000000,1.2235325440e+09
5265.00000000,1.1599132160e+09
5295.00000000,9.3964102400e+08
5325.00000000,7.8565081600e+08
5355.00000000,7.4413734400e+08
5385.00000000,7.5756544000e+08
5415.00000000,9.2924217600e+08
5445.00000000,1.1495252480e+09
5475.00000000,1.3614088960e+09
5505.00000000,9.7444371200e+08
5535.00000000,4.8064960000e+08
5565.00000000,3.1889059200e+08
5595.00000000,5.5018041600e+08
5625.00000000,1.0937753600e+09
