t0_days,Z
45.00000000,1.0145147506e+11
75.00000000,7.5260379960e+10
105.00000000,4.2536813188e+10
135.00000000,2.2472232557e+10
165.00000000,7.6138153146e+09
195.00000000,1.0565597227e+10
225.00000000,1.2498047822e+10
255.00000000,1.0659184766e+10
285.00000000,9.2972485645e+09
315.00000000,9.5515794194e+09
345.00000000,6.9545804469e+09
375.00000000,6.1884779255e+09
405.00000000,8.7235783541e+09
435.00000000,6.5586643283e+09
465.00000000,5.1183851364e+09
495.00000000,4.9125141647e+09
525.00000000,6.0912948418e+09
555.00000000,8.7585068575e+09
585.00000000,5.6227872564e+09
615.00000000,4.7938309685e+09
645.00000000,1.0324377209e+10
675.00000000,2.1940280530e+10
705.00000000,2.7078182668e+10
735.00000000,1.5231850002e+10
765.00000000,6.6337619045e+09
795.00000000,6.1956846563e+09
825.00000000,4.4545658779e+09
855.00000000,1.6280578151e+09
885.00000000,6.6614083420e+08
915.00000000,3.0231867236e+08
945.00000000,4.0791068343e+08
975.00000000,9.0574958368e+08
1005.00000000,1.4627265323e+09
1035.00000000,2.0360221791e+09
1065.00000000,2.1736430719e+09
1095.00000000,1.4128349137e+09
1125.00000000,1.3220358599e+09
1155.00000000,1.8497482108e+09
1185.00000000,3.1197849195e+09
1215.00000000,4.9443143159e+09
1245.00000000,8.2010325331e+09
1275.00000000,9.7015105198e+09
1305.00000000,9.1444906489e+09
1335.00000000,8.1394723698e+09
1365.00000000,1.0216956663e+10
1395.00000000,8.8431605087e+09
1425.00000000,3.5761040311e+09
1455.00000000,4.0188667065e+09
1485.00000000,5.7310410211e+09
1515.00000000,5.4243604936e+09
1545.00000000,4.1649783180e+09
1575.00000000,4.0862322366e+09
1605.00000000,9.8347943065e+09
1635.00000000,2.1280820743e+10
1665.00000000,3.4857519978e+10
1695.00000000,3.9968715517e+10
1725.00000000,2.9733614573e+10
1755.00000000,1.4448721034e+10
1785.00000000,9.1592195493e+09
1815.00000000,1.0433266174e+10
1845.00000000,1.3414775194e+10
1875.00000000,1.3229630870e+10
1905.00000000,7.6115935506e+09
1935.00000000,6.4226492136e+09
1965.00000000,8.7268676166e+09
1995.00000000,8.2207649822e+09
2025.00000000,5.8225913256e+09
2055.00000000,3.4924049103e+09
2085.00000000,1.7317134219e+09
2115.00000000,1.5984153604e+09
2145.00000000,2.0177219370e+09
2175.00000000,2.6878792004e+09
2205.00000000,4.1758945786e+09
2235.00000000,6.5728774419e+09
2265.00000000,1.1758030870e+10
2295.00000000,1.3916300707e+10
2325.00000000,1.5138243037e+10
2355.00000000,1.5065792723e+10
2385.00000000,1.1324949248e+10
2415.00000000,6.7197306172e+09
2445.00000000,4.2504103657e+09
2475.00000000,5.6788343719e+09
2505.00000000,8.5653993488e+09
2535.00000000,1.1885019964e+10
2565.00000000,2.5389176700e+10
2595.00000000,4.9507191995e+10
2625.00000000,7.3609948394e+10
2655.00000000,7.6071014411e+10
2685.00000000,5.5734694391e+10
2715.00000000,3.0112530309e+10
2745.00000000,1.0744680701e+10
2775.00000000,1.0778281054e+10
2805.00000000,1.5626750909e+10
2835.00000000,1.9820524196e+10
2865.00000000,2.1165910601e+10
2895.00000000,2.3817424502e+10
2925.00000000,4.6928764197e+10
2955.00000000,7.1429189056e+10
2985.00000000,7.0438640082e+10
3015.00000000,7.4355811577e+10
3045.00000000,9.1595054409e+10
3075.00000000,8.4940277345e+10
3105.00000000,6.9249239498e+10
3135.00000000,7.4928090143e+10
3165.00000000,8.8371796394e+10
3195.00000000,7.6051944403e+10
3225.00000000,5.6199632150e+10
3255.00000000,4.5982051491e+10
3285.00000000,3.9549113873e+10
3315.00000000,2.6094343385e+10
3345.00000000,1.4685062388e+10
3375.00000000,1.0105766937e+10
3405.00000000,7.7199705565e+09
3435.00000000,6.9553935585e+09
3465.00000000,1.3420999816e+10
3495.00000000,3.3515866711e+10
3525.00000000,6.9154224889e+10
3555.00000000,9.9205619280e+10
3585.00000000,1.0373730907e+11
3615.00000000,1.2313182810e+11
3645.00000000,1.5716464997e+11
3675.00000000,1.5842158308e+11
3705.00000000,1.3490127422e+11
3735.00000000,1.0122658646e+11
3765.00000000,6.4745212883e+10
3795.00000000,6.2137888601e+10
3825.00000000,8.4986715757e+10
3855.00000000,1.0252403006e+11
3885.00000000,1.4661762217e+11
3915.00000000,1.7610318916e+11
3945.00000000,1.6659006243e+11
3975.00000000,1.4372030823e+11
4005.00000000,1.2460630602e+11
4035.00000000,1.1078783129e+11
4065.00000000,1.3084323315e+11
4095.00000000,1.2853481609e+11
4125.00000000,1.4688509693e+11
4155.00000000,1.7410707668e+11
4185.00000000,1.6598980388e+11
4215.00000000,1.5880798965e+11
4245.00000000,1.5642041520e+11
4275.00000000,1.3957149643e+11
4305.00000000,1.2302185196e+11
4335.00000000,1.5181809536e+11
4365.00000000,2.0788411918e+11
4395.00000000,2.2079735716e+11
4425.00000000,2.0156449327e+11
4455.00000000,1.9024002204e+11
4485.00000000,2.0675192260e+11
4515.00000000,1.8612588122e+11
4545.00000000,1.3473758520e+11
4575.00000000,8.6517481790e+10
4605.00000000,5.4121858114e+10
4635.00000000,6.0421546496e+10
4665.00000000,9.1093296104e+10
4695.00000000,1.2612257034e+11
4725.00000000,1.4253183084e+11
4755.00000000,1.2444117665e+11
4785.00000000,1.1550417085e+11
4815.00000000,1.1335488840e+11
4845.00000000,9.2610928766e+10
4875.00000000,7.4967615034e+10
4905.00000000,1.1609350730e+11
4935.00000000,1.7492647884e+11
4965.00000000,1.9326264629e+11
4995.00000000,1.3978079220e+11
5025.00000000,7.5015204354e+10
5055.00000000,6.0859890328e+10
5085.00000000,7.8608422607e+10
5115.00000000,9.1043451824e+10
5145.00000000,9.2094725822e+10
5175.00000000,1.0456548759e+11
5205.00000000,1.1242988618e+11
5235.00000000,1.0652621117e+11
5265.00000000,1.2104970031e+11
5295.00000000,1.4935134949e+11
5325.00000000,1.6452466441e+11
5355.00000000,1.7624077070e+11
5385.00000000,1.7559565394e+11
5415.00000000,1.7642621823e+11
5445.00000000,2.5450070598e+11
5475.00000000,3.1095619417e+11
5505.00000000,3.3194489228e+11
5535.00000000,4.0886051756e+11
5565.00000000,4.4559837308e+11
5595.00000000,4.0067288908e+11
5625.00000000,2.9312967579e+11
